label,filename,exclude
tomato_early,75128610-8633-4000-8f74-17b6cff222d7___RS_Erly.B 6341.JPG,missing_or_ambiguous_leaf_group
tomato_healthy,000146ff-92a4-4db6-90ad-8fce2ae4fddd___GH_HL Leaf 259.1.JPG,missing_or_ambiguous_leaf_group
tomato_healthy,000bf685-b305-408b-91f4-37030f8e62db___GH_HL Leaf 308.1.JPG,missing_or_ambiguous_leaf_group
tomato_healthy,0184dc6b-bfc1-4515-ac59-bbadaf524e1a___GH_HL Leaf 422.1.JPG,missing_or_ambiguous_leaf_group
tomato_healthy,025bc454-a051-42d2-b547-316f8cc3dc55___GH_HL Leaf 297.JPG,missing_or_ambiguous_leaf_group
tomato_healthy,04483b12-5e9c-4e74-a5b6-e8c87f60b43f___GH_HL Leaf 439.JPG,missing_or_ambiguous_leaf_group
tomato_healthy,05598cc1-60b9-4436-a233-973c42eff2d6___GH_HL Leaf 503.1.JPG,missing_or_ambiguous_leaf_group
tomato_healthy,0576ef4b-c843-4dfb-b148-c917f7d605b7___GH_HL Leaf 299.JPG,missing_or_ambiguous_leaf_group
tomato_healthy,058ade43-2361-4039-bbe5-0ac661828c01___GH_HL Leaf 325.1.JPG,missing_or_ambiguous_leaf_group
tomato_healthy,063d05a7-1a53-4631-818d-44b34126974e___GH_HL Leaf 453.JPG,missing_or_ambiguous_leaf_group
tomato_healthy,06704d9f-3bbc-40cd-a5eb-258ed55e172b___GH_HL Leaf 491.1.JPG,missing_or_ambiguous_leaf_group
tomato_healthy,068e324c-faf6-40d6-8f83-578907f1cac5___GH_HL Leaf 466.1.JPG,missing_or_ambiguous_leaf_group
tomato_healthy,06ee1c8d-fbe4-48e9-a1b2-fed7ed5539f7___GH_HL Leaf 293.JPG,missing_or_ambiguous_leaf_group
tomato_healthy,0764ce38-ecb9-4046-88d9-c8f176c6ee8b___GH_HL Leaf 423.JPG,missing_or_ambiguous_leaf_group
tomato_healthy,085cbe78-1d5c-45eb-877f-f409526032d5___GH_HL Leaf 469.JPG,missing_or_ambiguous_leaf_group
tomato_healthy,0864ab65-d40d-4902-8213-09df86cf049e___GH_HL Leaf 400.JPG,missing_or_ambiguous_leaf_group
tomato_healthy,0894c925-d193-412f-961d-d188b57ee337___GH_HL Leaf 393.JPG,missing_or_ambiguous_leaf_group
tomato_healthy,0902aa8e-e4f7-4c29-b11a-b2b7f24fe61c___GH_HL Leaf 228.1.JPG,missing_or_ambiguous_leaf_group
tomato_healthy,0920bfd6-6c70-432b-be33-cccb6abb0f31___GH_HL Leaf 181.1.JPG,missing_or_ambiguous_leaf_group
tomato_healthy,0971aa89-8f72-4f66-b4ee-dceca73add54___GH_HL Leaf 318.JPG,missing_or_ambiguous_leaf_group
tomato_healthy,09c0d78a-c9ca-4dc4-aa10-e25530890b20___GH_HL Leaf 424.1.JPG,missing_or_ambiguous_leaf_group
tomato_healthy,0a334ae6-bea3-4453-b200-85e082794d56___GH_HL Leaf 310.1.JPG,missing_or_ambiguous_leaf_group
tomato_healthy,0b330273-890c-4995-af72-cba070fc0061___GH_HL Leaf 312.JPG,missing_or_ambiguous_leaf_group
tomato_healthy,0c4b06d5-4053-44fc-99b6-504934fdd3a9___GH_HL Leaf 199.1.JPG,missing_or_ambiguous_leaf_group
tomato_healthy,0c8c9c80-b7e0-47a7-81d3-b5a2174e545d___GH_HL Leaf 496.1.JPG,missing_or_ambiguous_leaf_group
